"date","calls"
2011-06-17,330
2011-06-16,390
2011-06-15,322
2011-06-14,331
2011-06-13,291
2011-06-12,197
2011-06-11,311
2011-06-10,349
2011-06-09,314
2011-06-08,285
2011-06-07,327
2011-06-06,294
2011-06-05,226
2011-06-04,264
2011-06-03,369
2011-06-02,265
2011-06-01,288
2011-07-31,240
2011-07-30,315
2011-07-29,327
2011-07-28,298
2011-07-27,294
2011-07-26,300
2011-07-25,286
2011-07-24,221
2011-07-23,296
2011-07-22,294
2011-07-21,340
2011-07-20,290
2011-07-19,318
2011-07-18,238
2011-07-17,206
2011-07-16,246
2011-07-15,331
2011-07-14,322
2011-07-13,268
2011-07-12,308
2011-07-11,267
2011-07-10,200
2011-07-09,324
2011-07-08,319
2011-07-07,345
2011-07-06,409
2011-07-05,291
2011-07-04,248
2011-07-03,184
2011-07-02,262
2011-07-01,297
2011-08-31,311
2011-08-30,285
2011-08-29,277
2011-08-28,240
2011-08-27,316
2011-08-26,332
2011-08-25,347
2011-08-24,341
2011-08-23,300
2011-08-22,296
2011-08-21,232
2011-08-20,325
2011-08-19,342
2011-08-18,297
2011-08-17,327
2011-08-16,271
2011-08-15,328
2011-08-14,252
2011-08-13,309
2011-08-12,332
2011-08-11,298
2011-08-10,322
2011-08-09,296
2011-08-08,260
2011-08-07,246
2011-08-06,297
2011-08-05,389
2011-08-04,358
2011-08-03,359
2011-08-02,282
2011-08-01,280
2011-09-30,371
2011-09-29,349
2011-09-28,264
2011-09-27,296
2011-09-26,290
2011-09-25,274
2011-09-24,401
2011-09-23,376
2011-09-22,334
2011-09-21,325
2011-09-20,242
2011-09-19,245
2011-09-18,236
2011-09-17,311
2011-09-16,293
2011-09-15,313
2011-09-14,295
2011-09-13,282
2011-09-12,297
2011-09-11,231
2011-09-10,345
2011-09-09,397
2011-09-08,352
2011-09-07,325
2011-09-06,292
2011-09-05,236
2011-09-04,234
2011-09-03,280
2011-09-02,358
2011-09-01,324
2011-10-31,256
2011-10-30,301
2011-10-29,346
2011-10-28,321
2011-10-27,265
2011-10-26,248
2011-10-25,233
2011-10-24,277
2011-10-23,228
2011-10-22,291
2011-10-21,305
